k_fold,dataset,mse
k1,abalone,0.37
k2,abalone,0.82
k3,abalone,0.0008
k4,abalone,0.23
k5,abalone,2.2
avg,abalone,0.72416
k1,forestfires,2.52
k2,forestfires,0.7
k3,forestfires,0.7
k4,forestfires,0.09
k5,forestfires,3.2
avg,forestfires,1.442
k1,machine,5.78
k2,machine,0.72
k3,machine,0.82
k4,machine,0.95
k5,machine,3.21
avg,machine,2.296
k1,breast_cancer,0.79
k2,breast_cancer,7.1
k3,breast_cancer,1.3
k4,breast_cancer,2.6
k5,breast_cancer,2.5
avg,breast_cancer,2.858
k1,car,31.9
k2,car,0.89
k3,car,4.1
k4,car,42.9
k5,car,5.94
avg,car,17.146
k1,house_votes,5.45
k2,house_votes,0.78
k3,house_votes,8.34
k4,house_votes,0.36
k5,house_votes,0.003
avg,house_votes,2.9866
